,title,author,rating,rating_NUM,review_NUM,summary
107,Harry Potter and the Goblet of Fire Movie Poster Book,Marie Morreale,4.43,378,8,"Here it is -- the official behind-the-scenes poster book of Harry Potter and the Goblet of Fire! It's packed with stats, facts, and insider info. Plus over 40 pictures of Harry, Ron, Hermione, Cho Chang, Cedric Diggory, Viktor Krum, Fleur Delacour, and all the other kids from Hogwarts, Durmstrang, and Beauxbatons. It's your must-have movie keepsake."
108,Harry Potter: Magical Places from the Films,Jody Revenson,4.53,1357,124,"A comprehensive and delightful look at Hogwarts, Diagon Alley, The Burrow, Azkaban prison and all of the memorable places, both loved and feared, that brought the Harry Potter movies to lifea keepsake treasury bound in a debossed leatherette case and featuring a removable poster and interactive booklet.Grand in its design and package, Harry Potter: Magical Places from the"
109,The Art of Harry Potter,Marc Sumerak,4.67,539,71,"Since the debut of Harry Potter and the Sorcerer's Stone, the Harry Potter film franchise has become one of the most popular and successful in the world. Beautifully crafted and presented in a deluxe, large-format with lavish production values, these pages present a visual chronicle of the work by artists and filmmakers to bring the wizarding world to life onscreen."
110,"The Hidden Key to Harry Potter: Understanding the Meaning, Genius, and Popularity of Joanne Rowling's Harry Potter Novels",John Granger,4.27,214,10,"The Hidden Key to Harry Potter is the first book to take Harry Potter seriously as literature. Low road critics have pawned the bestselling novels as ""the literary equivalent of fast food"" and as a gateway to the occult. But no one has explained the worldwide popularity of Ms. Rowling's fiction or read it as one would read Tolkien, Hemingway, or Shakespeare. The Hidden Key"
111,"The Wizard's Cookbook: Magical Recipes Inspired by Harry Potter, Merlin, The Wizard of Oz, and More",Aurelia Beaupommier,3.84,233,44,"The definitive cookbook for everyone who loves fantasy and lore!The ultimate gift book for fans of all things magical! Aurelia Beaupommier pays tribute to all sorcerers, fairies, elves, mages, witches, and magicians within this spellbinding cookbook! In The Wizard's Cookbook , you'll find recipes inspired by your favorite magical stories, eras, and lands--from history,"
112,"The Geeky Chef Cookbook: Real-Life Recipes for Your Favorite Fantasy Foods - Unofficial Recipes from Doctor Who, Game of Thrones, Harry Potter, and more",Cassandra Reeder,4.07,457,111,"It's time to get your geek on in the kitchen!Comic-lover, avid gamer, and sci-fi and fantasy lover, Cassandra Reeder started The Geeky Chef in 2008. She creates real-life recipes for all the delicious foods you've seen in your favorite sci-fi and fantasy movies, TV shows, and video games.From Game of Thrones and The Hunger Games, to Doctor Who, Legend of Zelda, and World"
113,Hermione Jean Granger and the Phoenix's Call,Eliezer Yudkowsky,4.58,329,13, 
114,Beacham's Sourcebook For Teaching Young Adult Fiction: Exploring Harry Potter,Elizabeth D. Schafer,3.72,240,18,"If you are reading, teaching, or patenting Harry Potter fans, this indispensable guidebook takes you behind the Potter legend, into the life of its author J. K. Rowling, and gives young readers many more hours of enjoyment beyond reading the novels themselves.Explore the origins and mysteries of Harry's world, its history, science, magic, mythology, setting, characters,"
115,The Unofficial Harry Potter Cookbook Presents: A Magical Christmas Menu,Dinah Bucholz,3.91,478,23,"Sure, you can't be in Hogwarts Hall for the Christmas feast, but you can add some wizadry to your own holiday meal with this sample menu! The Unofficial Harry Potter Cookbook Presents: A Magical Christmas Menu includes 16 recipes guaranteed to enchant your friends and family this holiday season. From mouth-watering appetizers to decadent desserts and a steaming cup of Mrs."
116,IncrediBuilds: Harry Potter: Aragog Deluxe Book and Model Set,Jody Revenson,4.59,17,6,"Kids can build their own customizable AragogTM with this thrilling hardcover book and 3D wood model set from IncrediBuilds. The deluxe hardcover book gives readers an inside look at how Aragog and the other Acromantula of the Harry Potter films were designed and created. Filled with incredible illustrations and unit photography, this book provides fascinating facts about"
117,The Harry Potter Spell Book (Harry Potter Guides) (Harry Potter Encyclopedia),Stephen Kershaw,4.61,69,1,"Become a Wizard yourself with the Spell Book of Harry Potter, containing all the spells and magic that has appeared in the Harry Potter books! Stephen Kershaw is a long-time fan of everything Harry Potter. Between his other works, he has compiled the definite guides to the Harry Potter universe, revealing the secret mysteries, history and jokes that you may have missed in"
118,"One Harry Potter, Please",Faith Wood,3.72,180,15,"Drarry FanficAll Draco wants is Harry Potter's friendship, just to make his new Auror job more bearable. However, after Harry stubbornly pays more attention to everyone else including his secret admirer Draco is forced to resort to drastic measures. And get more than he's bargained for.Words: 62,269 complete"
119,Harry Potter and the Goblet of Fire / Harry Potter and the Order of the Phoenix,"J.K. Rowling, Stephen Fry",4.51,111,3,41 CD complete and unabridged audiobook reading
120,"Hog's Head Conversations: Essays on Harry Potter, Volume 1","Travis Prinzi, John Granger, Colin Manlove, James W. Thomas, Amy H. Sturgis",4.17,90,5,"""Aberforth! Two more fire whiskeys for these friends! Welcome, HARRY POTTER readers, to the Hog s Head, the gathering place for members of Dumbledore s Army and the historic rallying point before the Battle of Hogwarts. We scholars of the Hogwarts Saga (Harry Potter s triumph over the Dark Lord) have come together here to share our researches on the meaning of Harry s"
121,"Hog's Head Conversations: Essays on Harry Potter, Volume 1","Travis Prinzi, John Granger, Colin Manlove, James W. Thomas, Amy H. Sturgis",4.17,90,5,"""Aberforth! Two more fire whiskeys for these friends! Welcome, HARRY POTTER readers, to the Hog s Head, the gathering place for members of Dumbledore s Army and the historic rallying point before the Battle of Hogwarts. We scholars of the Hogwarts Saga (Harry Potter s triumph over the Dark Lord) have come together here to share our researches on the meaning of Harry s"
122,Harry James Potter-Evans-Verres and the Shadows of Death,Eliezer Yudkowsky,4.56,364,17, 
123,The Lord of the Hallows: Christian Symbolism and Themes in J.K. Rowling's Harry Potter,Denise Roper,4.32,72,14,"THE LORD OF THE HALLOWS examines the Christian themes present in J. K. Rowling's HARRY POTTER, and compares Rowling's series with THE LORD OF THE RINGS by J. R. R. Tolkien and THE CHRONICLES OF NARNIA by C. S. Lewis. This book also gives a fascinating explanation of the sources of Harry Potter's subtle religious symbolism, which includes a study of iconography derived from"
124,The Complete Idiot's Guide to the World of Harry Potter,Tere Stouffer,4.31,616,20,"For fans of all ages!Here is an entertaining and easily referenced presentation of insider information to the world that J.K. Rowling has created in her spellbinding series of novels. The Complete Idiot's Guide® to the World of Harry Potter explores all aspects of the wizarding world and explains factually in terms of their relationship to historical, literary, religious,"
125,The Unofficial Harry Potter Cookbook Presents: A Magical Christmas Menu,Dinah Bucholz,3.91,478,23,"Sure, you can't be in Hogwarts Hall for the Christmas feast, but you can add some wizadry to your own holiday meal with this sample menu! The Unofficial Harry Potter Cookbook Presents: A Magical Christmas Menu includes 16 recipes guaranteed to enchant your friends and family this holiday season. From mouth-watering appetizers to decadent desserts and a steaming cup of Mrs."
126,101 Harry Potter Jokes: The Ultimate Joke Book for Wizards and Witches,Lilly Winchester,3.93,213,0,Why is Mad-Eye Moody such a bad teacher?Because he can't control his pupils!101 Hilarious Jokes from the Wizarding World of Harry Potter!A Must-have for any Harry Potter fan. Add to Cart Now and get ready to have some serious laughs!**Makes for the perfect gift plus get the Kindle edition for FREE when you buy the paperback.**
127,Harry Potter: A Pop-Up Guide to Hogwarts,"Matthew Reinhart, Kevin Wilson",4.73,254,36,"A 3-D masterpiece celebrating Harry Potters Hogwarts School of Witchcraft and Wizardry from New York Times best-selling pop-up engineer Matthew Reinhart.Harry Potter: A Pop-Up Guide to Hogwarts is an exhilarating, interactive guide to the iconic school of witchcraft and wizardry. This book features spectacular pop-up re-creations of key locations inside and outside"
128,Harry Potter: The Wand Collection,Monique Peterson,4.32,997,111,"Discover the wands of your favorite Harry Potter characters.In the Harry Potter films, each wand is as unique as the witch or wizard who wields it. From Hermione Grangers elegant, vine-wrapped wand to the bone-inlaid wands of the Death Eaters, each was designed and crafted by the filmmakers to reflect its owners identity.Harry Potter: The Wand Collection is a visual guide"
129,Jack and Yani Love Harry Potter,Mary E. Twomey,3.7,148,43,"Best friends Jack and Yani do everything together. After Yani's thirtieth birthday party, however, she decides to leave town on a spontaneous vacation to visit all the sites of the young adult fiction novels she loves, hoping that when she returns, she'll have buried the secret flame she has for Jack. Forced by his friends to go on a road trip to track down Yani, Jack"
130,The Lexicon: An Unauthorized Guide to Harry Potter Fiction and Related Materials,Steve Vander Ark,3.95,352,29,"Book by Vander Ark, Steve, Kearns, John, Bunker, Lisa Waite, Hobbs, Belinda"
131,"Harry Potter: Collection of Harry Potter Memes, Funny Memes & NSFW (Harry Potter Memes 3)",Jackson Lopez,4.05,198,1,"PLEASE NOTE: You DON'T need a Kindle to buy this book. It's available for immediate reading with your Amazon virtual cloud reader. Read this book FREE on KINDLE UNLIMITED! Best Collection of Funny Memes/NSFW Memes In this book, it contains best collection of memes that will make laugh out loud so loud that your friends will think you have gone crazy Due to the"
132,Honeydukes: A Scratch & Sniff Adventure (Harry Potter),"Daphne Pendergrass, Jenna Ballard",3.83,265,45,"From Fizzing Whizbees to Cockroach Clusters, Bertie Bott's Every Flavor Beans to Chocolate Frogs, the Harry Potter films abound with sweets to enchant and astonish!Now for the first time, fans can scratch and savor the scents of delectable confections straight from the shelves of Honeydukes! Look back on the most mouthwatering Harry Potter movie moments in this beautiful,"
133,"All 256 Harry Potter Spells - The Unofficial Spell Book Of Magic Containing All Curses, Charms, Jinxes & Hexes To Become The Ultimate Wizard Or Witch!","Michael Fry, Rowling Stephens",4.22,96,0,"Consider yourself a true Harry Potter Fan? Ever wondered how many spells you know? Think you have what it takes to pass the OWL or BUSE exams? This comprehensive spell book guide has all the spells you could ever need. From the books to the movies and even the video games, youll be able to become the most powerful Witch or Wizard there ever was. ★★ Here is what youll"
134,Harry Potter and the Bound Prince,"slashpervert, Sayingsorry_hh",3.73,101,14,"A retelling of the Harry Potter story. This is book 1 of 7. Warning: this story is slash (i.e. a male-male pairing).In HBP, there is a pivotal moment where things could have gone very differently for Harry and Draco. In the bathroom sixth year, Draco is upset that Harry has caught him crying and throws a hex. It escalates and ends in blood, with Harry nearly killing Draco"
135,LEGO Harry Potter: Building the Magical World,Elizabeth Dowsett,4.25,1213,26,"Includes exclusive LEGO(r) Harry Potter TM minifigure! The magic of Harry Potter TM and the fun of the LEGO(r) world, now in one incredible book! Since it was first introduced in 2001, LEGO(r) Harry Potter TM has been one of the LEGO Group's most popular themes. This incredible guide gives readers an up close look at the bricks, constructions, and minifigures of the"
136,Harry Potter - The Unofficial Guide to the Collectibles of Our Favorite Wizard,Eric Bradley,4.38,55,25,"A legacy of magical treasures!Since 1997 with the publication of the first book, Harry Potter has cast a spell over millions of Muggles around the world--not the least of all bewitched collectors. Harry Potter: The Unofficial Guide to the Collectibles of Our Favorite Wizard conjures rare, extraordinary and magical treasures sprung from the Potter books and movies, and even"
137,Harry Potter - The Harry Potter Spellbook - Unofficial Guide,Stephen Eastment,4.61,747,4,"In your hands you hold the Spell Book of Harry Potter, containing all of the spells that Harry Potter and other great wizards and witches of the Wizarding World have used in the Harry Potter series. This book contains all the spells, what the spells do, and how they are pronounced as well as special essays on magic. With this book I hope that you can learn great spells"
138,Harry Potter - The Magical Book of Facts: Over 250 facts you probably didn't know!,Bruno Austin,4.43,173,3, 
139,Quidditch im Wandel der Zeiten,"Kennilworthy Whisp, J.K. Rowling, Klaus Fritz",3.83,150113,5416,"Alternate Cover Edition of ISBN 9783551359476Dieses Buch wird erstmals in Harry Potter und der Stein der Weisen erwahnt. Dort ist es im Bestand der Bibliothek von Hogwarts zu finden. Es beschaftigt sich mit der Sportart Quidditch, die von Zauberern und Hexen auf fliegenden Besen gespielt wird, schildert außerdem die Entwicklung des Flugbesens, berichtet von fruheren"
140,Harry Potter: Cinematic Guide: Ron Weasley,Felicity Baker,3.92,290,17,This Cinematic Guide is the essential companion for fans of the Harry Potter films! This hardcover guidebook features your favorite scenes and quotes from all eight Harry Potter movies!
141,LEGO Harry Potter: Building the Magical World,Elizabeth Dowsett,4.25,1213,26,"Includes exclusive LEGO(r) Harry Potter TM minifigure! The magic of Harry Potter TM and the fun of the LEGO(r) world, now in one incredible book! Since it was first introduced in 2001, LEGO(r) Harry Potter TM has been one of the LEGO Group's most popular themes. This incredible guide gives readers an up close look at the bricks, constructions, and minifigures of the"
142,200 Harry Potter Trivia Questions - The Unofficial Wizard And Witch Training Guide With All The Facts (Unofficial Guide Book 3),"Michael Fry, Rowling Stephens",4.15,60,2,"Consider yourself a true Harry Potter Fan? Think you have what it takes to answer these 200 questions? Come inside and see if you'll pass with Outstanding grades to move onto N.E.W.T level studies or get a Troll mark and fail like Goyle. Take the quiz with friends or by yourself, there's 10 levels with 20 questions each that get progressively harder as you go on. There's"
143,Harry Potter: Magical Tales about the Wizarding World,J.K. Rowling,4.92,12,0, 
144,Harry Potter - The Harry Potter Spellbook - Unofficial Guide,Stephen Eastment,4.61,747,4,"In your hands you hold the Spell Book of Harry Potter, containing all of the spells that Harry Potter and other great wizards and witches of the Wizarding World have used in the Harry Potter series. This book contains all the spells, what the spells do, and how they are pronounced as well as special essays on magic. With this book I hope that you can learn great spells"
145,Harry Potter for Nerds II,"Kathryn McDaniel, Travis Prinzi, Deborah M. Chan, Katherine Sas, Carol Eshleman, Kelly Orazi, Rochelle Deans, Emily Strand, Hayley Burson, Michael Burson, Kris Swank, Amy H. Sturgis, Alison R. Jones, Madelyn V. Young, Carrie-Ann Biondi, Robb A. McDaniel, Laura Lee  Smith",4.57,58,3,"Occupy Hogwarts! Do you see the revolutionary potential of Harry Potter? Where would you stand in the Battle of Hogwarts? Readers who appreciate J.K. Rowling's messages about political and social repression, and about the empowering qualities of empathy, invisibility, and transformative love, will discover inspiration in the latest compilation of essays from editors"
146,What's a Christian to Do with Harry Potter?,Connie Neal,3.67,135,18,"Answers to the Burning Questions Christian Parents, Educators, and Others Are Asking about Harry Potter. In the world of publishing, few successes have equaled that of J. K. Rowlings Harry Potter seriesmagical stories centered on one boys adventures at Hogwarts, a school for witchcraft and wizardry. Yet this popular series presents a perplexingeven divisivechallenge to the"
147,Marauder's Map Guide to Hogwarts (Harry Potter),Erinn Pascal,4.18,206,24,"Don't miss this guide to Hogwarts that includes a wand-shaped invisible ink pen with UV light, fold-out pages of the Marauder's Map, and a parchment to make your own magical map!""I solemnly swear that I am up to no good.""For years, Harry Potter film fans have marveled over the Marauder's Map, the enchanted map of Hogwarts that first appears in Harry Potter and the Prisoner"
148,Quidditch im Wandel der Zeiten,"Kennilworthy Whisp, J.K. Rowling, Klaus Fritz",3.83,150113,5416,"Alternate Cover Edition of ISBN 9783551359476Dieses Buch wird erstmals in Harry Potter und der Stein der Weisen erwahnt. Dort ist es im Bestand der Bibliothek von Hogwarts zu finden. Es beschaftigt sich mit der Sportart Quidditch, die von Zauberern und Hexen auf fliegenden Besen gespielt wird, schildert außerdem die Entwicklung des Flugbesens, berichtet von fruheren"
149,Harry Potter Colouring Book #3 Magical Places & Characters,Scholastic Inc.,4.36,135,4,"Explore the many places and characters of the Harry Potter films through the magic of color. From the enchanted ceiling of the Great Hall at Hogwarts to the garish tones of the Dursleys living room, this deluxe coloring book is filled with intricate images that bring fan-favorite wizarding locales to life. With pages of designs inspired by the characters themselves, this"
150,"Harry Potter And The Philosopher´s Stone (Film): Fantasy, Adventure, Harry Potter And The Philosopher´s Stone, J. K. Rowling, Chris Columbus (Filmmaker), ... Series), Harry Potter (Character), Hogwarts","Frederic P.  Miller, Agnes F. Vandome, John McBrewster",4.37,534,37,"Please note that the content of this book primarily consists of articles available from Wikipedia or other free sources online. Harry Potter and the Philosopher's Stone (released in the United States and India as Harry Potter and the Sorcerer's Stone) is a 2001 fantasy/adventure film based on the novel of the same name by J. K. Rowling. Directed by Chris Columbus, it is"
151,Diary of a Confused Harry Potter: The Cowardly Wizard,Alex Pan,3.62,148,4,"Everybody knows the story of a brave Harry Potter: he was the great wizard who conquered Lord Voldemort. But have you ever heard the story of a Wimpy Harry Potter? Harry's a regular kid, who hates fighting, and just so happens to be named Harry Potter. But he's not the Harry Potter you're thinking of! Coincidentally, this Wimpy Harry Potter does go to Hogwarts, and guess"
152,Harry Potter and the Triangle Prophecy,B.L. Purdom,4.41,110,9,"Harrys seventh and final year of school. In a time of uncertainty, the Muggle world has found a source of comfort and stability. Only Harry suspects that it isnt safe. Wizards are more concerned about themselves than Muggles since Voldemorts return, but are only Muggles at risk? Will anyone listen to Harry? He must decide whether Draco Malfoy is ultimately friend or foe"
153,The Unofficial Harry Potter Encyclopedia: Harry Potter a - Z,Kristina Benson,4.44,121,2,"The Ultimate Reference for the Harry Potter Enthusiast In depth and current overview of the characters in Harry's World Harry Potter is a series of fantasy novels by English author J. K. Rowling about a teenage boy named Harry Potter. Since the release of her first novel, Harry Potter and the Sorcerer's Stone in 1997, the books have gained enormous popularity, critical"
154,해리 포터와 마법사의 돌 1,"J.K. Rowling, 조앤<U+30FB>K<U+30FB>롤링, 김혜원",4.57,191,8,"고아 소년 해리 포터가 마법 학교에 입학해 마법사 세계의 영웅이 되기까지의 모험과 환상을 그린 것으로, 이야기는 해리 포터가 부모를 잃고 자신을 천대하는 친척집에 맡겨지면서부터 시작된다. 작고 마른 체구에 갸름한 얼굴을 하고 흐트러진 까만 머리와 초록빛 눈을 가진 해리 포터는 이마에 번개 모양의 가느다란 흉터가 있고 그는 늘 헐렁한 헌옷에 스카치테이프로 붙인 안경을 끼고 다닌다.자신이 마법사라는 사실도 모른 채 온갖 멸시와 학대와 모욕을 당하며 계단 밑 벽장에서 불우한 삶을 살지만,열한 번째 생일날에 해리는 호그와트라는 영국의 최고의 마법 학교에 입학하면서 해리의 모험담이 시작된다."
155,Harry Potter and the Prisoner of Azkaban (Piano Solos),John   Williams,4.54,182,13,This spectacular souvenir folio comes loaded with full-color and black and white photos from the blockbuster Harry Potter film. Titles: Aunt Marge's Waltz Buckbeak's Flight Double Trouble Hagrid the Professor Hedwig's Theme The Snowball Fight A Window to the Past A Winter's Spell.
156,Harry Potter and the Order of the Phoenix (Book 5 - Part 2),"J.K. Rowling, Stephen Fry",4.5,257,5, 
157,The Unofficial Harry Potter Spellbook: The Wand Chooses the Wizard,Duncan Levy,4.09,429,11,"Author and Harry Potter fan Duncan Levy recognizes that """"Wingardium Leviosa"""" may be the most popular spell incantation from the world of Harry Potter, but he'd be the first to remind fans that it isn't the only one.""The Unofficial Harry Potter Spellbook"" is a comprehensive companion for fans looking to delve deeper into the magical world of Harry Potter. Written by"
158,Harry Potter Memes!: Omnibus Edition!,Memes,4,239,5,Get this OMNIBUS VERSION Harry Potter MEMES book for free if you have Amazon Prime/Kindle unlimited! Another great MEMES book! Funny from beginning to end! The funniest ones are at the end to see if you are paying attention ;)This is the best and easiest way to get this ultimate collection of these funtastic memes when you get if for free with Amazon Prime/ Kindle
159,Harry Potter Illustrated Collection (Pack of 4),"J.K. Rowling, Jim Kay",4.84,95,6,"J.K. Rowling's Harry Potter books are now presented in lavishly illustrated full-color editions. This pack contains the first three books of the Harry Potter series, along with the companion title, Fantastic Beasts and Where to Find Them."
160,Re-Reading Harry Potter,Suman Gupta,4.17,252,9,"This is the first extended text-based analysis of the social and political implications of the Harry Potter phenomenon. Arguments are primarily based on close readings of the first four Harry Potter books and the first two films - in other words, a 'text-to-world' method is followed. This study does not assume that the phenomenon concerns children alone, or should be"
161,Harry Potter - Diagon Alley: A Movie Scrapbook,Warner Bros,4.36,240,26, 
162,The Unofficial Harry Potter Spellbook: The Wand Chooses the Wizard,Duncan Levy,4.09,429,11,"Author and Harry Potter fan Duncan Levy recognizes that """"Wingardium Leviosa"""" may be the most popular spell incantation from the world of Harry Potter, but he'd be the first to remind fans that it isn't the only one.""The Unofficial Harry Potter Spellbook"" is a comprehensive companion for fans looking to delve deeper into the magical world of Harry Potter. Written by"
163,Harry Potter Memes!: Omnibus Edition!,Memes,4,239,5,Get this OMNIBUS VERSION Harry Potter MEMES book for free if you have Amazon Prime/Kindle unlimited! Another great MEMES book! Funny from beginning to end! The funniest ones are at the end to see if you are paying attention ;)This is the best and easiest way to get this ultimate collection of these funtastic memes when you get if for free with Amazon Prime/ Kindle
164,PIANO SHEET MUSIC Themes from Harry Potter and the Sorcerer's Stone,"John   Williams, Gail Lew",4.32,132,5,"These exciting, easy arrangements of John Williams' motion picture score capture the sounds and characters from this thrilling movie. Muggles of all ages will want to play these memorable themes including: Hedwig's Theme * Harry's Wondrous World * Diagon Alley * Hogwarts Forever! * Quidditch * Voldemort * Nimbus 2000 * Family Portrait. This great piano collection may be"
165,J.K. Rowling Harry Potter to the Casual Vacancy a JK Rowling Biography 2012,A. McNamara,3.78,112,14,"The most up to date Biography of J.K Rowling completed July 2012From Harry Potter to the Casual Vacancy, this book has it all.Joanne Rowling was born in July 1965 at Yate General Hospital in England and grew up in Chepstow, Gwent where she went to Wyedean Comprehensive.Jo left Chepstow for Exeter University, where she earned a French and Classics degree, her course"
166,"Life Lessons Harry Potter Taught Me: Discover the Magic of Friendship, Family, Courage, and Love in Your Life",Jill Kolongowski,4.11,159,26,"An approachable and inspiring series of short essays that examines the greatest YA series ever with a combination of adult literary criticism and childhood curiosityThe books will always be a part of you. Now, revisit old Hogwarts haunts. Reconnect with favorite characters. And learn far more than the correct pronunciation of Wingardium Leviosa. With Life Lessons Harry"
167,Harry Potter: Knitting Magic: The Official Guide to Creating Original Knits Inspired By the Harry Potter Films,Tanis Gray,4.47,179,40,"Introducing the first official Harry Potter knitting booka deluxe guide to creating over 25 authentic Harry Potter knits based on the iconic films.Channel the magic of the Harry Potter films from the screen to your needles with the ultimate knitters guide to the Wizarding World. Featuring over 25 magical knits pictured in gorgeous full-color photography, this book includes"
168,AMAZING HARRY POTTER FACTS,Jack Hart,4.02,161,0,"A celebration of the beloved fantasy series of books and films, crammed packed with trivia about the novels and movies, characters, cultural influences, and much more besides..."
169,Harry Potter a l'ecole de la philosophie,Marianne Chaillan,4.25,126,18, 
170,OF BUTTERBEERS AND TREACLE TARTS:: THE HARRY POTTER COOKBOOK A Magical Collection of Fancy Harry Potter-Inspired Recipes,Dennis Carter,4.19,81,2,"Just like as a seemingly ordinary child was transported in the magical world of wizards and witches, you can get a glimpse of the boy who lived through this fancy cookbook featuring a collection of dishes that are popularized in the book. It also includes Harry Potter-inspired recipes conjured to immortalize the amazing journeys etched in the pages, as well as on screen"
171,Hogwarts Through The Years (Harry Potter Poster Book),"Scholastic Inc., Warner Bros. Entertainment Inc., J.K. Rowling",4.23,122,3,"The movie event of the summer is here! Harry and friends are back for their biggest adventure yet -- the fifth installment in the record-breaking movie franchise!It's the must-have Harry Potter keepsake! The official Hogwarts Yearbook is stuffed with pictures, quotes, stats, and facts about all your favorite Hogwarts students - from Year One through Year Five. You'll find"
172,Los tesoros de Harry Potter,Luis Sarabia Utrilla,4.75,105,13,"Adentrate en el mundo magico de la espectacular saga de peliculas de Harry Potter, y descubre por que las esculturas de hielo del baile de Navidad nunca se derriten, donde se acunan los autenticos galeones, sickles y knuts, como conseguir que un hipogrifo trabaje con los actores, que inspiro el castillo de Hogwarts o por que los dementores se mueven asi. Los tesoros de"
173,"Harry Potter, Still Recruiting: An Inner Look at Harry Potter Fandom",Valerie Estelle Frankel,4.21,53,5,"The Harry Potter phenomenon has created a new world: one of Quidditch in the park, lightning earrings, endless parodies, a new genre of music, and fan conferences of epic proportions. This book attempts to document everything - exploring costuming, crafting, gaming, and more, with essays and interviews straight from the multitude of creators. At last, this groundbreaking"
174,Harry Potter Therapy: An Unauthorized Self-Help Book from the Restricted Section,"Janina Scarlet, Vince Alvendia",3.78,85,14,"Dear witch or wizard, Have you read and reread the Harry Potter books? Are you someone who can quote the movies by heart? Do you still ever wonder when you will get your acceptance letter into Hogwarts School of Witchcraft and Wizardry? Me too. As a diehard and proud Potterhead, my heart warms every time I hear the main theme music, Hedwigs theme. Like many of you, I"
175,Re-Reading Harry Potter,Suman Gupta,4.17,252,9,"This is the first extended text-based analysis of the social and political implications of the Harry Potter phenomenon. Arguments are primarily based on close readings of the first four Harry Potter books and the first two films - in other words, a 'text-to-world' method is followed. This study does not assume that the phenomenon concerns children alone, or should be"
176,A Writer's Guide to Harry Potter,S.P. Sipal,4.44,96,7,"This is the older, first edition. A New Edition is Available. Check out the completely updated and expanded edition here https://www.goodreads.com/book/show/3...Are you a fiction or fanfiction writer hoping to catch onto a bit of JK Rowling's magic ""floo powder?"" Based on the popular workshop, A Writer's Guide to Harry Potter analyzes JK Rowling's craft for the fiction"
177,Harry Potter - The Ultimate Book of Facts,"Jack Goldstein, Frankie Taylor",4.07,418,20,Are you a huge fan of Harry Potter? You have probably read every book and seen every film many times over. But there's still a whole host of information that you might not already know! This excellent book has more than two hundred facts that will surprise and amaze you in equal measure. Sections include: - Harry Potter and Daniel Radcliffe - Quidditch - Hermione Granger
178,Cuentos de brujas. Harry Potter y Animales Fantasticos,Lauren Calkhoven,3.92,66,14, 
179,The Potterhead Cookbook: Authentic Recipes from the Wizarding World of Harry Potter,James Keller,3.88,34,1,"Step into the Wizarding World of Harry Potter with The Potterhead Cookbook! With this cookbook, dining at Hogwarts is as easy as the wave of a wand. With 25 exciting recipes, you can easily whip up spellbindingly delicious dishes inspired by your favorite Harry Potter stories, such as: Homemade Pumpkin Pasties Classic Butterbeer Kreacher's French Onion Soup Almond and"
180,Awesome memes of harry potter: comic memes,memes professionals,4.21,94,0,"Best and awesome collection of Funny harry potter Memes In this book, it contains the ultimate collection of memes that will make you laugh out loud and makes you go crazy."
181,The Potterhead Cookbook: Authentic Recipes from the Wizarding World of Harry Potter,James Keller,3.88,34,1,"Step into the Wizarding World of Harry Potter with The Potterhead Cookbook! With this cookbook, dining at Hogwarts is as easy as the wave of a wand. With 25 exciting recipes, you can easily whip up spellbindingly delicious dishes inspired by your favorite Harry Potter stories, such as: Homemade Pumpkin Pasties Classic Butterbeer Kreacher's French Onion Soup Almond and"
182,Awesome memes of harry potter: comic memes,memes professionals,4.21,94,0,"Best and awesome collection of Funny harry potter Memes In this book, it contains the ultimate collection of memes that will make you laugh out loud and makes you go crazy."
183,Sticks and Stones: The Troublesome Success of Children's Literature from Slovenly Peter to Harry Potter,Jack D. Zipes,3.37,87,18,"Have children ever really had a literature of their own? In Sticks and Stones, Jack Zipes explores children's literature, from the grissly moralism of Slovenly Peter to the hugely successful Harry Potter books, and argues that despite common assumptions about children's books, our investment in children is paradoxically curtailing their freedom and creativity. Sticks and"
184,Cuentos de brujas. Harry Potter y Animales Fantasticos,Lauren Calkhoven,3.92,66,14, 
185,"Harry Potter for Nerds: Essays for Fans, Academics, and Lit Geeks","Travis Prinzi, James W. Thomas, Lancelot Schaubert",3.92,107,12,"'Harry Potter for Nerds' is a collection of the most exciting ideas from twelve Hogwarts Professors about the world's best selling books. Travis Prinzi, author of 'Harry Potter and Imagination' and webmaster at The Hog's Head, has tapped his Potter Pundit friends in Fandom and at better universities around the country for their insights about the literary magic of the"
186,The Secret Me: A Harry Potter Examination,Shane Windham,4.36,36,3,"From American author and game designer Shane Windham comes 'The Secret Me: A Harry Potter Examination'. This unique journaling experience allows you to fulfill the dream of completely immersing yourself in the wizarding world! Take on the Potterverse like never before. Examine your deepest magical desires. Discuss your opinions of the books, the films, the games, and much,"
